style,rating_count,beer_count,checkins_per_style
Historical Beer - Kentucky Common,106246,688,154.0
Non-Alcoholic Beer - Porter / Stout,100473,190,529.0
Lager - Other,97635,340,287.0
Farmhouse Ale - Bière de Mars,94093,322,292.0
Sorghum / Millet Beer,84601,66,1282.0
Historical Beer - Adambier,84530,313,270.0
Lambic - Faro,81975,96,854.0
Historical Beer - Lichtenhainer,76489,487,157.0
Lager - Leichtbier,74724,286,261.0
Happoshu,70347,420,167.0
Historical Beer - Steinbier,70191,146,481.0
Cider - Ice / Applewine,69913,1356,52.0
Pilsner - New Zealand,64085,171,375.0
Farmhouse Ale - Bière de Coupage,56354,183,308.0
Koji / Ginjo Beer,56227,122,461.0
Historical Beer - Dampfbier,50682,284,178.0
Historical Beer - Kottbusser,49509,116,427.0
Mead - Pyment,48661,764,64.0
Historical Beer - Zoigl,48563,164,296.0
Stout - Belgian,40794,26,1569.0
Historical Beer - Burton Ale,40366,285,142.0
Golden Ale - American,39280,78,504.0
Historical Beer - Mumme,35283,53,666.0
Non-Alcoholic Cider / Perry,30308,273,111.0
Corn Beer / Chicha de Jora,27005,162,167.0
Mead - Acerglyn / Maple Wine,24122,246,98.0
Mead - Bochet,18896,243,78.0
Historical Beer - Kuit / Kuyt / Koyt,15004,68,221.0
IPA - Brown,9719,47,207.0
Golden Ale - Ukrainian,7776,68,114.0
Historical Beer - Berliner Braunbier,6875,16,430.0
Ukrainian Golden Ale,6483,12,540.0
Historical Beer - Broyhan,4353,16,272.0
Lager - Euro Pale,2770,33,84.0
Non-Alcoholic Mead,1180,61,19.0
Stout - American Imperial / Double,784,35,22.0
Imperial Pale Ale,644,65,10.0
Lager - Euro Dark,106,5,21.0
Sour - Farmhouse IPA,77,17,5.0
Belgian Trappist Ale,24,5,5.0
Harvest Ale,7,2,4.0
Abbey Ale,6,1,6.0
Belgian Ale (Decommissioned),0,2,0.0
American Blonde Ale,0,2,0.0
Golden Lager,0,3,0.0
Blonde Lager,0,1,0.0
Chile Beer,0,1,0.0
